11-Dec-23 3:50:50 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:B2:A2	""	"TUD-facility"	""	""	-62	78	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	1C:28:AF:62:01:D0	""	"eduroam"	""	""	-61	79	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	1C:28:AF:62:01:D2	""	"TUD-facility"	""	""	-60	79	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	1C:28:AF:62:01:D1	""	"tudelft-dastud"	""	""	-60	79	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 5% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:B2:A1	""	"tudelft-dastud"	""	""	-60	79	"0"	"Ch 1 [2.412 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:B2:B2	""	"TUD-facility"	""	""	-51	82	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:B2:B1	""	"tudelft-dastud"	""	""	-50	83	"0"	"Ch 104 [5.520 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:B2:B0	""	"eduroam"	""	"Connected AP"	-50	83	"7"	"Ch 104 [5.520 GHz]"	""	"7 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F2:A8:50	""	"eduroam"	""	""	-71	72	"5"	"Ch 60 [5.300 GHz]"	""	"5 Stations, 9% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	D0:4D:C6:F3:09:D1	""	"tudelft-dastud"	""	""	-95	5	"0"	"Ch 48 [5.240 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	1C:28:AF:65:FE:11	""	"tudelft-dastud"	""	""	-93	6	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
11-Dec-23 3:52:00 PM	1C:28:AF:65:FE:12	""	"TUD-facility"	""	""	-93	6	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"
